##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
PROV997;Port Louis;Port Louis;Port Louis;Puerto Louis;Port Louis;Port Louis;Port Louis;Порт-Луи;;;X
PROV998;Port Victoria;Port Victoria;Port Victoria;Puerto Victoria;Port Victoria;Port Victoria;Port Victoria;Порт Виктория;;;X
PROV999;Muruni;Muruni;Muruni;Muruni;Muruni;Muruni;Muruni;Муруни;;;X
PROV1000;Mamoudzou;Mamoudzou;Mamoudzou;Mamoudzou;Mamoudzou;Mamoudzou;Mamoudzou;Мамудзу;;;X
PROV1001;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;Тананариве;;;X
PROV1002;Tamatave;Tamatave;Tamatave;Tamatave;Tamatave;Tamatave;Tamatave;Таматаве;;;X
PROV1003;Fort Dauphin;Fort Dauphin;Fort Dauphin;Fuerte Dauphin;Fort Dauphin;Fort Dauphin;Fort Dauphin;Форт-Дофин;;;X
PROV1004;El Arish;El Arish;El Arish;El Arish;El Arish;El Arish;El Arish;Эль-Ариш ;;;X
PROV1005;Sharm el Sheikh;Sharm el Sheikh;Sharm el Sheikh;Sharm el Sheikh;Sharm el Sheikh;Sharm el Sheikh;Sharm el Sheikh;Шарм-Эль-Шейх;;;X
PROV1006;Al Qantarah;Al Qantarah;Al Qantarah;Al Qantarah;Al Qantarah;Al Qantarah;Al Qantarah;Аль-Кантарах;;;X
PROV1007;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Бур-Тафик;;;X
PROV1008;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Тель-Авив;;;X
PROV1009;Gaza;Gaza;Gaza;Gaza;Gaza;Gaza;Gaza;Газа;;;X
PROV1010;Eilat;Eilat;Eilat;Eilat;Eilat;Eilat;Eilat;Эйлат;;;X
PROV1011;Haifa;Haifa;Haifa;Haifa;Haifa;Haifa;Haifa;Хайфа;;;X
PROV1012;free;free;free;free;free;free;free;свободный;;;X
PROV1013;Akko;Akko;Akko;Akko;Akko;Akko;Akko;Акко;;;X
PROV1014;Deir ez Zor;Deir ez Zor;Deir ez Zor;Deir ez Zor;Deir ez Zor;Deir ez Zor;Deir ez Zor;Дейр-эз-Зор;;;X
PROV1015;El Qamisli;El Qamisli;El Qamisli;El Qamisli;El Qamisli;El Qamisli;El Qamisli;Эль-Камышлы;;;X
PROV1016;Damascus;Damascus;Damascus;Damasco;Damascus;Damascus;Damascus;Дамаск;;;X
PROV1017;Hims;Hims;Hims;Hims;Hims;Hims;Hims;Химс;;;X
PROV1018;Trablos;Trablos;Trablos;Trablos;Trablos;Trablos;Trablos;Триполи;;;X
PROV1019;Beirut;Beirut;Beirut;Beirut;Beirut;Beirut;Beirut;Бейрут;;;X
PROV1020;Golan;Golan;Golan;Golбn;Golan;Golan;Golan;Голан;;;X
PROV1021;Aleppo;Aleppo;Aleppo;Alepo;Aleppo;Aleppo;Aleppo;Алеппо;;;X
PROV1022;Amman;Amman;Amman;Amman;Amman;Amman;Amman;Амман;;;X
PROV1023;Irbid;Irbid;Irbid;Irbid;Irbid;Irbid;Irbid;Ирбид;;;X
PROV1024;As Zarqa;As Zarqa;As Zarqa;As Zarqa;As Zarqa;As Zarqa;As Zarqa;Эз-Зарка;;;X
PROV1025;Ma'an;Ma'an;Ma'an;Ma'an;Ma'an;Ma'an;Ma'an;Маан;;;X
PROV1026;Al Kerak;Al Kerak;Al Kerak;Al Kerak;Al Kerak;Al Kerak;Al Kerak;Аль Керак;;;X
PROV1027;Arbil;Arbil;Arbil;Arbil;Arbil;Arbil;Arbil;Эрбиль;;;X
PROV1028;Al Amarah;Al Amarah;Al Amarah;Al Amarah;Al Amarah;Al Amarah;Al Amarah;Аль-Амарах;;;X
PROV1029;Mosul;Mosul;Mosul;Mosul;Mosul;Mosul;Mosul;Мосул;;;X
PROV1030;Karbala;Karbala;Karbala;Karbala;Karbala;Karbala;Karbala;Карбала;;;X
PROV1031;An Najaf;An Najaf;An Najaf;An Najaf;An Najaf;An Najaf;An Najaf;Эн-Наджаф;;;X
PROV1032;Basrah;Basrah;Basrah;Basrah;Basrah;Basrah;Basrah;Басра;;;X
PROV1033;El Hillah;El Hillah;El Hillah;El Hillah;El Hillah;El Hillah;El Hillah;Эль-Хилла;;;X
PROV1034;Baghdad;Baghdad;Baghdad;Bagdad;Baghdad;Baghdad;Baghdad;Багдад;;;X
PROV1035;Kut;Kut;Kut;Kut;Kut;Kut;Kut;Кут;;;X
PROV1036;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Киркук;;;X
PROV1037;An Nasiriyyah;An Nasiriyyah;An Nasiriyyah;An Nasiriyyah;An Nasiriyyah;An Nasiriyyah;An Nasiriyyah;Эн-Насирия;;;X
PROV1038;Doha;Doha;Doha;Doha;Doha;Doha;Doha;Доха;;;X
PROV1039;Abu Dhabi;Abu Dhabi;Abu Dhabi;Abu Dhabi;Abu Dhabi;Abu Dhabi;Abu Dhabi;Абу-Даби;;;X
PROV1040;Dammam;Dammam;Dammam;Damnan;Dammam;Dammam;Dammam;Даммам;;;X
PROV1041;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Кувейт;;;X
PROV1042;Georgian Bay;Georgian Bay;Georgian Bay;Bahнa de Georgian;Georgian Bay;Georgian Bay;Georgian Bay;Джорджиан-Бэй;;;X
PROV1043;Khasab;Khasab;Khasab;Khasab;Khasab;Khasab;Khasab;Хасаб;;;X
PROV1044;Hayel;Hayel;Hayel;Hayel;Hayel;Hayel;Hayel;Хайал;;;X
PROV1045;Riyadh;Riyadh;Riyadh;Riyadh;Riyadh;Riyadh;Riyadh;Эр-Рияд;;;X
PROV1046;Al-Jawf;Al-Jawf;Al-Jawf;Al-Jawf;Al-Jawf;Al-Jawf;Al-Jawf;Аль-Явф;;;X
PROV1047;El Hofuf;El Hofuf;El Hofuf;El Hofuf;El Hofuf;El Hofuf;El Hofuf;Эль-Хуфуф;;;X
PROV1048;Medina;Medina;Medina;Medina;Medina;Medina;Medina;Медина;;;X
PROV1049;Mecca;Mecca;Mecca;Meca;Mecca;Mecca;Mecca;Мекка;;;X
PROV1050;Sanaa;Sanaa;Sanaa;Sanaa;Sanaa;Sanaa;Sanaa;Сана;;;X
PROV1051;El Mukalla;El Mukalla;El Mukalla;El Mukalla;El Mukalla;El Mukalla;El Mukalla;Эль-Мукалла;;;X
PROV1052;Masqat;Masqat;Masqat;Masqat;Masqat;Masqat;Masqat;Маскат;;;X
PROV1053;Aden;Aden;Aden;Adйn;Aden;Aden;Aden;Аден;;;X
PROV1054;Antakya;Antakya;Antakya;Antakya;Antakya;Antakya;Antakya;Антакья;;;X
PROV1055;Adana;Adana;Adana;Adana;Adana;Adana;Adana;Адана;;;X
PROV1056;Gaziantep;Gaziantep;Gaziantep;Gaziantep;Gaziantep;Gaziantep;Gaziantep;Газиантеп;;;X
PROV1057;Antalya;Antalya;Antalya;Antalya;Antalya;Antalya;Antalya;Анталья;;;X
PROV1058;Tarsus;Tarsus;Tarsus;Tarsus;Tarsus;Tarsus;Tarsus;Тарсус;;;X
PROV1059;Sivas;Sivas;Sivas;Sivas;Sivas;Sivas;Sivas;Сивас;;;X
PROV1060;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Диярбакыр;;;X
PROV1061;Malatya;Malatya;Malatya;Malatya;Malatya;Malatya;Malatya;Малатья;;;X
PROV1062;Hakkari;Hakkari;Hakkari;Hakkari;Hakkari;Hakkari;Hakkari;Хаккяри;;;X
PROV1063;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;Эрзурум;;;X
PROV1064;Elazig;Elazig;Elazig;Elazig;Elazig;Elazig;Elazig;Элязыг;;;X
PROV1065;Karabuk;Karabuk;Karabuk;Karabuk;Karabuk;Karabuk;Karabuk;Карабук;;;X
PROV1066;Samsun;Samsun;Samsun;Samsun;Samsun;Samsun;Samsun;Самсун;;;X
PROV1067;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;Трабзон;;;X
PROV1068;Zonguldak;Zonguldak;Zonguldak;Zonguldak;Zonguldak;Zonguldak;Zonguldak;Зонгулдак;;;X
PROV1069;Tayshet;Tayshet;Tayshet;Tayshet;Tayshet;Tayshet;Tayshet;Тайшет;;;X
PROV1070;Kachug;Kachug;Kachug;Kachug;Kachug;Kachug;Kachug;Качуг;;;X
PROV1071;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Эскишехир;;;X
PROV1072;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Кириккале;;;X
PROV1073;Kayseri;Kayseri;Kayseri;Kayseri;Kayseri;Kayseri;Kayseri;Кайсери;;;X
PROV1074;Konya;Konya;Konya;Konya;Konya;Konya;Konya;Конья;;;X
PROV1075;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Анкара;;;X
PROV1076;Izmit;Izmit;Izmit;Izmit;Izmit;Izmit;Izmit;Измит;;;X
PROV1077;Smyrna;Smyrna;Smyrna;Smyrna;Smyrna;Smyrna;Smyrna;Смирна;;;X
PROV1078;Bursa;Bursa;Bursa;Bursa;Bursa;Bursa;Bursa;Бурса;;;X
PROV1079;Denizli;Denizli;Denizli;Denizli;Denizli;Denizli;Denizli;Денизли;;;X
PROV1080;Sari;Sari;Sari;Sari;Sari;Sari;Sari;Сари;;;X
PROV1081;Rast;Rast;Rast;Rast;Rast;Rast;Rast;Раст ;;;X
PROV1082;Rezaiye;Rezaiye;Rezaiye;Rezaiye;Rezaiye;Rezaiye;Rezaiye;Резайе;;;X
PROV1083;Tabriz;Tabriz;Tabriz;Tabriz;Tabriz;Tabriz;Tabriz;Тебриз;;;X
PROV1084;Kermanshah;Kermanshah;Kermanshah;Kermanshah;Kermanshah;Kermanshah;Kermanshah;Керманшах;;;X
PROV1085;Teheran;Teheran;Teheran;Teherбn;Teheran;Teheran;Teheran;Тегеран;;;X
PROV1086;Esfahan;Esfahan;Esfahan;Isfahбn;Esfahan;Esfahan;Esfahan;Исфахан;;;X
PROV1087;Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;Хамадан;;;X
PROV1088;Shiraz;Shiraz;Shiraz;Shiraz;Shiraz;Shiraz;Shiraz;Шираз;;;X
PROV1089;Ahvaz;Ahvaz;Ahvaz;Ahvaz;Ahvaz;Ahvaz;Ahvaz;Ахваз;;;X
PROV1090;Busehr;Busehr;Busehr;Busehr;Busehr;Busehr;Busehr;Бушир ;;;X
PROV1091;Gameroon;Gameroon;Gameroon;Gameroon;Gameroon;Gameroon;Gameroon;Гамерун;;;X
PROV1092;Mashhad;Mashhad;Mashhad;Mashhad;Mashhad;Mashhad;Mashhad;Мешхед;;;X
PROV1093;Zahedan;Zahedan;Zahedan;Zahedan;Zahedan;Zahedan;Zahedan;Захедан;;;X
PROV1094;Kerman;Kerman;Kerman;Kerman;Kerman;Kerman;Kerman;Керман;;;X
PROV1095;Birjand;Birjand;Birjand;Birjand;Birjand;Birjand;Birjand;Бирдженд ;;;X
PROV1096;Lake Superior;Lake Superior;Lake Superior;Lake Superior;Lake Superior;Lake Superior;Lake Superior;Верхнее озеро;;;X
PROV1097;Ashkhabad;Ashkhabad;Ashkhabad;Ashkhabad;Ashkhabad;Ashkhabad;Ashkhabad;Ашхабад;;;X
PROV1098;Merv;Merv;Merv;Merv;Merv;Merv;Merv;Мерв;;;X
PROV1099;Samarkand;Samarkand;Samarkand;Samarkand;Samarkand;Samarkand;Samarkand;Самарканд;;;X
PROV1100;Bukhara;Bukhara;Bukhara;Bukhara;Bukhara;Bukhara;Bukhara;Бухара;;;X
PROV1101;Zheleznodorozhny;Zheleznodorozhny;Zheleznodorozhny;Zheleznodorozhny;Zheleznodorozhny;Zheleznodorozhny;Zheleznodorozhny;Железнодорожный;;;X
PROV1102;Nukus;Nukus;Nukus;Nukus;Nukus;Nukus;Nukus;Нукус;;;X
PROV1103;Tashkent;Tashkent;Tashkent;Taskent;Tashkent;Tashkent;Tashkent;Ташкент;;;X
PROV1104;Khorugh;Khorugh;Khorugh;Khorugh;Khorugh;Khorugh;Khorugh;Хоруг;;;X
PROV1105;Dushanbe;Dushanbe;Dushanbe;Duchanbй;Dushanbe;Dushanbe;Dushanbe;Душанбе;;;X
PROV1106;Osh;Osh;Osh;Osh;Osh;Osh;Osh;Ош;;;X
PROV1107;Frunze;Frunze;Frunze;Frunze;Frunze;Frunze;Frunze;Фрунзе;;;X
PROV1108;Dzhambul;Dzhambul;Dzhambul;Dzhambul;Dzhambul;Dzhambul;Dzhambul;Джамбул;;;X
PROV1109;Chimkent;Chimkent;Chimkent;Chimkent;Chimkent;Chimkent;Chimkent;Чимкент;;;X
PROV1110;Kzyl-Orda;Kzyl-Orda;Kzyl-Orda;Kzyl-Orda;Kzyl-Orda;Kzyl-Orda;Kzyl-Orda;Кзыл-Орда;;;X
PROV1111;Fyodorovka;Fyodorovka;Fyodorovka;Fyodorovka;Fyodorovka;Fyodorovka;Fyodorovka;Федоровка;;;X
PROV1112;Novokazalinsk;Novokazalinsk;Novokazalinsk;Novokazalinsk;Novokazalinsk;Novokazalinsk;Novokazalinsk;Новоказалинск ;;;X
PROV1113;Uralsk;Uralsk;Uralsk;Uralsk;Uralsk;Uralsk;Uralsk;Уральск;;;X
PROV1114;Aktyubinsk;Aktyubinsk;Aktyubinsk;Aktyubinsk;Aktyubinsk;Aktyubinsk;Aktyubinsk;Актюбинск;;;X
PROV1115;Kustanay;Kustanay;Kustanay;Kustanay;Kustanay;Kustanay;Kustanay;Кустанай;;;X
PROV1116;Derzhavinsk;Derzhavinsk;Derzhavinsk;Derzhavinsk;Derzhavinsk;Derzhavinsk;Derzhavinsk;Державинск;;;X
PROV1117;Chelkar;Chelkar;Chelkar;Chelkar;Chelkar;Chelkar;Chelkar;Челкар;;;X
PROV1118;Fort Alexandrovsky;Fort Alexandrovsky;Fort Alexandrovsky;Fort Alexandrovsky;Fort Alexandrovsky;Fort Alexandrovsky;Fort Alexandrovsky;Форт-Шевченко;;;X
PROV1119;Kyzyl;Kyzyl;Kyzyl;Kizil;Kyzyl;Kyzyl;Kyzyl;Кызыл;;;X
PROV1120;Choibalsan;Choibalsan;Choibalsan;Choibalsan;Choibalsan;Choibalsan;Choibalsan;Чойбалсан;;;X
PROV1121;Bayankhongor;Bayankhongor;Bayankhongor;Bayankhongor;Bayankhongor;Bayankhongor;Bayankhongor;Баянхонгор;;;X
PROV1122;Arvaikheer;Arvaikheer;Arvaikheer;Arvaikheer;Arvaikheer;Arvaikheer;Arvaikheer;Арвайхээр;;;X
PROV1123;Olgii;Olgii;Olgii;Olgii;Olgii;Olgii;Olgii;Олгой;;;X
PROV1124;Ulaanbaatar;Ulaanbaatar;Ulaanbaatar;Ulaanbaatar;Ulaanbaatar;Ulaanbaatar;Ulaanbaatar;Улан-Батор;;;X
PROV1125;Muren;Muren;Muren;Muren;Muren;Muren;Muren;Мурен;;;X
PROV1126;Kungur;Kungur;Kungur;Kungur;Kungur;Kungur;Kungur;Кунгур;;;X
PROV1127;Pervouralsk;Pervouralsk;Pervouralsk;Pervouralsk;Pervouralsk;Pervouralsk;Pervouralsk;Первоуральск;;;X
PROV1128;Nizhny Tagil;Nizhny Tagil;Nizhny Tagil;Nizhny Tagil;Nizhny Tagil;Nizhny Tagil;Nizhny Tagil;Нижний Тагил;;;X
PROV1129;Vorkuta;Vorkuta;Vorkuta;Vorkuta;Vorkuta;Vorkuta;Vorkuta;Воркута;;;X
PROV1130;Berezniki;Berezniki;Berezniki;Berezniki;Berezniki;Berezniki;Berezniki;Березники;;;X
PROV1131;Ufa;Ufa;Ufa;Ufa;Ufa;Ufa;Ufa;Уфа;;;X
PROV1132;Chelyabinsk;Chelyabinsk;Chelyabinsk;Chelнabinsk;Chelyabinsk;Chelyabinsk;Chelyabinsk;Челябинск;;;X
PROV1133;Orsk;Orsk;Orsk;Orsk;Orsk;Orsk;Orsk;Орск;;;X
PROV1134;Orenburg;Orenburg;Orenburg;Oremburgo;Orenburg;Orenburg;Orenburg;Оренбург;;;X
PROV1135;Tobolsk;Tobolsk;Tobolsk;Tobolsk;Tobolsk;Tobolsk;Tobolsk;Тобольск;;;X
PROV1136;Tyumen;Tyumen;Tyumen;Tiumen;Tyumen;Tyumen;Tyumen;Тюмень;;;X
PROV1137;Kurgan;Kurgan;Kurgan;Kurgбn;Kurgan;Kurgan;Kurgan;Курган;;;X
PROV1138;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Омск;;;X
PROV1139;Tara;Tara;Tara;Tara;Tara;Tara;Tara;Тара;;;X
PROV1140;Barnaul;Barnaul;Barnaul;Barnaul;Barnaul;Barnaul;Barnaul;Барнаул;;;X
PROV1141;Barabinsk;Barabinsk;Barabinsk;Barabinsk;Barabinsk;Barabinsk;Barabinsk;Барабинск;;;X
PROV1142;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Новосибирск;;;X
PROV1143;Biysk;Biysk;Biysk;Biysk;Biysk;Biysk;Biysk;Бийск;;;X
PROV1144;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Кемерово;;;X
PROV1145;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;Кузнецк;;;X
PROV1146;Oyrot-Tura;Oyrot-Tura;Oyrot-Tura;Oyrot-Tura;Oyrot-Tura;Oyrot-Tura;Oyrot-Tura;Ойрот-Тура;;;X
PROV1147;Abakan;Abakan;Abakan;Abakan;Abakan;Abakan;Abakan;Абакан;;;X
PROV1148;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;Томск;;;X
PROV1149;Asino;Asino;Asino;Asino;Asino;Asino;Asino;Асино;;;X
PROV1150;Ostyako-Vogulsk;Ostyako-Vogulsk;Ostyako-Vogulsk;Ostyako-Vogulsk;Ostyako-Vogulsk;Ostyako-Vogulsk;Ostyako-Vogulsk;Остяко-Вогульск;;;X
PROV1151;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Свердловск;;;X
PROV1152;Salekhard;Salekhard;Salekhard;Salekhard;Salekhard;Salekhard;Salekhard;Салехард;;;X
PROV1153;Uray;Uray;Uray;Uray;Uray;Uray;Uray;Урай;;;X
PROV1154;Surgut;Surgut;Surgut;Surgut;Surgut;Surgut;Surgut;Сургут;;;X
PROV1155;Norilsk;Norilsk;Norilsk;Norilsk;Norilsk;Norilsk;Norilsk;Норильск;;;X
PROV1156;Krasnoyarsk;Krasnoyarsk;Krasnoyarsk;Krasnoiarsk;Krasnoyarsk;Krasnoyarsk;Krasnoyarsk;Красноярск;;;X
PROV1157;Kansk;Kansk;Kansk;Kansk;Kansk;Kansk;Kansk;Канск;;;X
PROV1158;Minusinsk;Minusinsk;Minusinsk;Minusinsk;Minusinsk;Minusinsk;Minusinsk;Минусинск;;;X
PROV1159;free;free;free;free;free;free;free;free;;;X
PROV1160;Lake Peipsi;Lake Peipsi;Lake Peipsi;Lago Peipsi;Lake Peipsi;Lake Peipsi;Lake Peipsi;Озеро Пеипси;;;X
PROV1161;Kalakan;Kalakan;Kalakan;Kalakan;Kalakan;Kalakan;Kalakan;Калакан;;;X
PROV1162;Irkutsk;Irkutsk;Irkutsk;Irkutsk;Irkutsk;Irkutsk;Irkutsk;Иркутск;;;X
PROV1163;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Bodaybo;Бодайбо;;;X
PROV1164;Ust-Kut;Ust-Kut;Ust-Kut;Ust-Kut;Ust-Kut;Ust-Kut;Ust-Kut;Усть-Кут;;;X
PROV1165;Bratsk;Bratsk;Bratsk;Bratsk;Bratsk;Bratsk;Bratsk;Братск;;;X
PROV1166;Cheremkhovo;Cheremkhovo;Cheremkhovo;Cheremkhovo;Cheremkhovo;Cheremkhovo;Cheremkhovo;Черемхово;;;X
PROV1167;Ulan-Ude;Ulan-Ude;Ulan-Ude;Ulan-Ude;Ulan-Ude;Ulan-Ude;Ulan-Ude;Улан-Удэ;;;X
PROV1168;Borzya;Borzya;Borzya;Borzya;Borzya;Borzya;Borzya;Борзя;;;X
PROV1169;Chita;Chita;Chita;Chita;Chita;Chita;Chita;Чита;;;X
PROV1170;Never;Never;Never;Nunca;Never;Never;Never;Невер;;;X
PROV1171;Ekimchan;Ekimchan;Ekimchan;Ekimchan;Ekimchan;Ekimchan;Ekimchan;Экимчан;;;X
PROV1172;Jerusalem;Jerusalem;Jerusalem;Jerusalйn;Jerusalem;Jerusalem;Jerusalem;Иерусалим;;;X
PROV1173;Lake;Lake;Lake;Lago;Lake;Lake;Lake;Озеро;;;X
PROV1174;Kuybyshevka-Vostochnaya;Kuybyshevka-Vostochnaya;Kuybyshevka-Vostochnaya;Kuybyshevka-Vostochnaya;Kuybyshevka-Vostochnaya;Kuybyshevka-Vostochnaya;Kuybyshevka-Vostochnaya;Куйбышевка-Восточная;;;X
PROV1175;Birobidzhan;Birobidzhan;Birobidzhan;Birobidzhan;Birobidzhan;Birobidzhan;Birobidzhan;Биробиджан;;;X
PROV1176;Blagoveshchensk;Blagoveshchensk;Blagoveshchensk;Blagoveschensk;Blagoveshchensk;Blagoveshchensk;Blagoveshchensk;Благовещенск;;;X
PROV1177;Nyurba;Nyurba;Nyurba;Nyurba;Nyurba;Nyurba;Nyurba;Нюрба;;;X
PROV1178;Nezametny;Nezametny;Nezametny;Nezametny;Nezametny;Nezametny;Nezametny;Незаметный;;;X
PROV1179;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Якутск;;;X
PROV1180;Verkhoyansk;Verkhoyansk;Verkhoyansk;Verkhoyansk;Verkhoyansk;Verkhoyansk;Verkhoyansk;Верхоянск;;;X
PROV1181;Magadan;Magadan;Magadan;Magadan;Magadan;Magadan;Magadan;Магадан;;;X
PROV1182;Anadyr;Anadyr;Anadyr;Anadyr;Anadyr;Anadyr;Anadyr;Анадырь;;;X
PROV1183;Palana;Palana;Palana;Palana;Palana;Palana;Palana;Палана;;;X
PROV1184;Petropavlovsk;Petropavlovsk;Petropavlovsk;Petropavlovsk;Petropavlovsk;Petropavlovsk;Petropavlovsk;Петропавловск;;;X
PROV1185;Gavan;Gavan;Gavan;Gabбn;Gavan;Gavan;Gavan;Советская Гавань;;;X
PROV1186;Okhotsk;Okhotsk;Okhotsk;Okhotsk;Okhotsk;Okhotsk;Okhotsk;Охотск;;;X
PROV1187;Sofiysk;Sofiysk;Sofiysk;Sofiysk;Sofiysk;Sofiysk;Sofiysk;Софийск;;;X
PROV1188;Elban;Elban;Elban;Elban;Elban;Elban;Elban;Эльбан;;;X
PROV1189;Nikolayevsk-on-Amur;Nikolayevsk-on-Amur;Nikolayevsk-on-Amur;Nikolayevsk-on-Amur;Nikolayevsk-on-Amur;Nikolayevsk-on-Amur;Nikolayevsk-on-Amur;Николаевск-на-Амуре;;;X
PROV1190;Khabarovsk;Khabarovsk;Khabarovsk;Khabarovsk;Khabarovsk;Khabarovsk;Khabarovsk;Хабаровск;;;X
PROV1191;Vladivostok;Vladivostok;Vladivostok;Vladivostok;Vladivostok;Vladivostok;Vladivostok;Владивосток;;;X
PROV1192;Semyonovka;Semyonovka;Semyonovka;Semyonovka;Semyonovka;Semyonovka;Semyonovka;Семеновка;;;X
PROV1193;Nakhodka;Nakhodka;Nakhodka;Nakhodka;Nakhodka;Nakhodka;Nakhodka;Находка;;;X
PROV1194;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Лесозаводск;;;X
PROV1195;Tetyukhe;Tetyukhe;Tetyukhe;Tetyukhe;Tetyukhe;Tetyukhe;Tetyukhe;Тетюхе;;;X
PROV1196;Nikolsk-Ussuriysky;Nikolsk-Ussuriysky;Nikolsk-Ussuriysky;Nikolsk-Ussuriysky;Nikolsk-Ussuriysky;Nikolsk-Ussuriysky;Nikolsk-Ussuriysky;Никольск-Уссурийский;;;X
PROV1197;Hegang;Hegang;Hegang;Hegang;Hegang;Hegang;Hegang;Хэган;;;X
PROV1198;Butehaqi;Butehaqi;Butehaqi;Butehaqi;Butehaqi;Butehaqi;Butehaqi;Батехай;;;X
PROV1199;Harbin;Harbin;Harbin;Harbin;Harbin;Harbin;Harbin;Харбин;;;X
PROV1200;Huma;Huma;Huma;Huma;Huma;Huma;Huma;Хума;;;X
PROV1201;Heihe;Heihe;Heihe;Heihe;Heihe;Heihe;Heihe;Хэйхэ;;;X
PROV1202;Jiamusi;Jiamusi;Jiamusi;Jiamusi;Jiamusi;Jiamusi;Jiamusi;Цзямусы;;;X
PROV1203;Qiqihaer;Qiqihaer;Qiqihaer;Qiqihar;Qiqihaer;Qiqihaer;Qiqihaer;Цицикар;;;X
PROV1204;Jixi;Jixi;Jixi;Jixi;Jixi;Jixi;Jixi;Цзиси;;;X
PROV1205;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Муданьцзян;;;X
PROV1206;Haila'er;Haila'er;Haila'er;Haila'er;Haila'er;Haila'er;Haila'er;Хайлар;;;X
PROV1207;Jilin;Jilin;Jilin;Jilin;Jilin;Jilin;Jilin;Цилинь;;;X
PROV1208;Changchun;Changchun;Changchun;Changchun;Changchun;Changchun;Changchun;Чанчунь;;;X
PROV1209;Wulanhaote;Wulanhaote;Wulanhaote;Wulanhaote;Wulanhaote;Wulanhaote;Wulanhaote;Вуланхаоте;;;X
PROV1210;Tongliyao Hot;Tongliyao Hot;Tongliyao Hot;Tongliyao Hot;Tongliyao Hot;Tongliyao Hot;Tongliyao Hot;Тунляо-Хот;;;X
PROV1211;Hunjiang;Hunjiang;Hunjiang;Hunjiang;Hunjiang;Hunjiang;Hunjiang;Хунань;;;X
PROV1212;Yanji;Yanji;Yanji;Yanji;Yanji;Yanji;Yanji;Яньцзы;;;X
PROV1213;Baicheng;Baicheng;Baicheng;Baicheng;Baicheng;Baicheng;Baicheng;Байчэн;;;X
PROV1214;Shenyang;Shenyang;Shenyang;Shenyang;Shenyang;Shenyang;Shenyang;Шэньян;;;X
PROV1215;Fushun;Fushun;Fushun;Fushun;Fushun;Fushun;Fushun;Фушунь;;;X
PROV1216;Jinzhou;Jinzhou;Jinzhou;Jinzhou;Jinzhou;Jinzhou;Jinzhou;Цзиньчжоу;;;X
PROV1217;Anshan;Anshan;Anshan;Anshan;Anshan;Anshan;Anshan;Аньшань;;;X
PROV1218;Panjin;Panjin;Panjin;Panjin;Panjin;Panjin;Panjin;Паньцзинь;;;X
PROV1219;Port Arthur;Port Arthur;Port Arthur;Puerto Arthur;Port Arthur;Port Arthur;Port Arthur;Порт Артур;;;X
PROV1220;Dandong;Dandong;Dandong;Dandong;Dandong;Dandong;Dandong;Даньдун;;;X
PROV1221;Pyeongyang;Pyeongyang;Pyeongyang;Pyongyang;Pyeongyang;Pyeongyang;Pyeongyang;Пхеньян;;;X
PROV1222;Sariwon;Sariwon;Sariwon;Sariwon;Sariwon;Sariwon;Sariwon;Саривон;;;X
PROV1223;Wonsan;Wonsan;Wonsan;Wonsan;Wonsan;Wonsan;Wonsan;Вонсан;;;X
