From;To;Type;Through;Comment
844;851;River;0;Bermejo
844;845;River;0;Bermejo
854;853;River;0;Colorado
854;845;River;0;Colorado
855;845;River;0;Salado
855;843;River;0;Salado
854;857;River;0;Negro
854;859;River;0;Negro
855;859;River;0;Limay
857;858;River;0;Chubut
858;863;River;0;Deseado
859;863;River;0;Deseado
859;862;River;0;Deseado
##############################################################################;;;;
# Canadian Rivers;;;;
##############################################################################;;;;
586;1909;River;0;St. Lawrence
584;586;River;0;St. Lawrence
584;585;River;0;St. Lawrence
584;591;River;0;St. Lawrence
591;592;River;0;St. Lawrence
591;593;River;0;St. Lawrence
573;588;River;0;Ottawa
585;591;River;0;Ottawa
587;591;River;0;Ottawa
587;588;River;0;Ottawa
590;613;River;0;Niagara
590;616;River;0;St. Clair
590;617;River;0;St. Clair
617;622;River;0;Straits of Mackinac
572;622;River;0;Saint Marys
571;694;River;0;Pigeon
541;555;River;0;Columbia
566;567;River;0;Saskatchewan
795;798;River;0;Saskatchewan
798;796;River;0;Saskatchewan
799;796;River;0;Saskatchewan
797;796;River;0;Saskatchewan
##############################################################################;;;;
# Rivers in Burma;;;;
##############################################################################;;;;
1298;1299;River;0;Irrawaddy
1297;1299;River;0;Irrawaddy
1297;1300;River;0;Irrawaddy
1296;1297;River;0;Irrawaddy
1290;1296;River;0;Irrawaddy
1292;1296;River;0;Irrawaddy
1299;1302;River;0;Sittang
1299;1301;River;0;Sittang
1300;1301;River;0;Sittang
1302;1346;River;0;Salween
##############################################################################;;;;
# Rivers in Indonesia;;;;
##############################################################################;;;;
1649;1650;River;0;Mahakam
1642;1641;River;0;Barito
1643;1641;River;0;Barito
1643;1650;River;0;Barito
##############################################################################;;;;
# Australian rivers;;;;
##############################################################################;;;;
1734;1726;River;0;Darling
1720;1726;River;0;Darling
1720;1725;River;0;Darling
1725;1721;River;0;Darling
1721;1723;River;0;Darling
1733;1732;River;0;Murray
1734;1732;River;0;Murray
1726;1732;River;0;Murray
1732;1731;River;0;Murray
1730;1731;River;0;Murray
1726;1731;River;0;Murrumbidgee
1727;1731;River;0;Murrumbidgee
1726;1727;River;0;Lachlan
1725;1727;River;0;Lachlan
1694;1695;River;0;Gilbert
1695;1701;River;0;Leichhardt
1695;1700;River;0;Leichhardt
1700;1697;River;0;Leichhardt
##############################################################################;;;;
# Important European Straits!;;;;
##############################################################################;;;;
294;93;Sea;290;Skåne-Själland
293;294;River;0;Själland-Fyn
92;293;River;0;Fyn-Jylland
292;92;River;0;Ålborg-Århus
89;294;River;0;Lübeck-Själland
101;103;Sea;2481;Stockholm-Åland
141;103;Sea;2482;Åbo-Åland
393;402;River;0;Agrinio-Kefalonia
900;901;River;2453;Across Suez Channel
409;439;Sea;397;Istanbul - Izmi
409;408;Sea;397;Istanbul - Bursa
524;525;Sea;2441;Across Messina Strait
3;6;Sea;2403;Stornoway - Highlands
##############################################################################;;;;
# Important Asian Straits!;;;;
##############################################################################;;;;
1321;1320;Sea;2156;Hainan
##############################################################################;;;;
# Important American Straits!;;;;
##############################################################################;;;;
556;541;Sea;1922;Vancouver Islans
##############################################################################;;;;
# Important Pacific Connections;;;;
##############################################################################;;;;
658;659;Sea;1943;#
659;663;Sea;1931;#
660;661;Sea;1931;#
663;660;Sea;1931;#
660;661;Sea;1944;#
1659;1661;Sea;2167;#
1663;1661;Sea;2167;#
666;665;Sea;2536;#
665;664;Sea;2536;#
665;653;Sea;2536;#
653;652;Sea;2536;#
653;666;Sea;2536;#
1179;1181;Sea;2213;#
1190;1188;Sea;2193;#
1187;1189;Sea;2193;#
1174;1177;Sea;2212;#
1172;1405;Sea;2227;#
1518;1519;Sea;2056;#
863;865;Sea;1995;#
93;294;Sea;290;#
294;293;Sea;2476;#
293;91;River;0;#
409;439;Sea;397;#
367;534;Sea;2439;#
961;962;Sea;2303;#
962;963;Sea;2302;#
963;964;Sea;2302;#
563;560;Sea;2331;#
536;535;Sea;2435;#
535;537;Sea;2433;#
##############################################################################;;;;
# Impassable in Himalaya;;;;
##############################################################################;;;;
1474;1448;Impassable;0;Himalaya
1474;1473;Impassable;0;Himalayas
1473;1455;Impassable;0;Himalayas
1473;1448;Impassable;0;Himalayas
1455;1451;Impassable;0;Himalayas
1455;1453;Impassable;0;Himalayas
1454;1453;Impassable;0;Himalayas
1284;1453;Impassable;0;Himalayas
1284;1283;Impassable;0;Himalayas
1878;1283;Impassable;0;Himalayas
1877;1283;Impassable;0;Himalayas
1291;1283;Impassable;0;Himalayas
##############################################################################;;;;
# Impassable in China;;;;
##############################################################################;;;;
1439;1208;Impassable;0;China
##############################################################################;;;;
# Impassables in New Guinea;;;;
##############################################################################;;;;
1676;1666;Impassable;0;Bismarck Range
1676;1667;Impassable;0;Bismarck Range
1676;1672;Impassable;0;Bismarck Range
1676;1665;Impassable;0;Bismarck Range
1673;1665;Impassable;0;Agats
1673;1664;Impassable;0;Agats
1662;1663;Impassable;0;Kokonau
1662;1664;Impassable;0;Kokonau
1662;1660;Impassable;0;Kokonau
##############################################################################;;;;
# Impassables in Arabian desert - Middle East;;;;
##############################################################################;;;;
1818;1807;Impassable;0;Rub Al Khali
1818;1821;Impassable;0;Rub Al Khali
1818;1820;Impassable;0;Rub Al Khali
1818;1504;Impassable;0;Rub Al Khali
1818;1819;Impassable;0;Rub Al Khali
1818;1814;Impassable;0;Rub Al Khali
1818;1812;Impassable;0;Rub Al Khali
##############################################################################;;;;
# Impassable in Sahara;;;;
##############################################################################;;;;
907;909;Impassable;0;Qattara Depression
907;908;Impassable;0;Qattara Depression
907;1020;Impassable;0;Qattara Depression
907;1019;Impassable;0;Qattara Depression
907;905;Impassable;0;Qattara Depression
907;1021;Impassable;0;Qattara Depression
1019;1020;Impassable;0;Great Sand Sea
1019;926;Impassable;0;Great Sand Sea
1019;1017;Impassable;0;Great Sand Sea
1019;1018;Impassable;0;Great Sand Sea
1019;1067;Impassable;0;Great Sand Sea
1019;1022;Impassable;0;Great Sand Sea
1019;1021;Impassable;0;Great Sand Sea
1017;926;Impassable;0;Calanshio Sand Sea
1017;927;Impassable;0;Calanshio Sand Sea
1017;1016;Impassable;0;Calanshio Sand Sea
1017;1018;Impassable;0;Calanshio Sand Sea
1067;1022;Impassable;0;Nubian Desert
1067;1018;Impassable;0;Nubian Desert
##############################################################################;;;;
# Minor Changes;;;;
##############################################################################;;;;
96;95;Sea;2479;Gotland-Karlskrona
254;255;Sea;2468;Kerch-Novorrossisk
964;965;Sea;2300;Tenerife-La Palma
578;579;Sea;2344;Cape Breton-Halifax
1354;1358;Sea;2146;Bangka-Palembang
302;295;Sea;2477;Stettin-Bornholm
1314;1315;Sea;2158;Hong Kong-Bao'an
400;401;Sea;2448;Athens-Cyclades
400;405;Sea;2464;Cyclades-Dardanelles
405;408;Sea;2464;Dardanelles-Bursa
1177;1178;Sea;2212;Asahikawa-Etorofu
398;400;Sea;2463;Cyclades-Dodecanese
398;437;Sea;2463;Dodecanese-Izmir
398;438;Sea;2463;Dodecanese-Antalya
405;437;Sea;2464;Dardanelles-Izmir
865;864;Sea;1995;Tierra del Fuego-Punta Arenas

-1;-1;;;
